Year,HBR,HBRQF,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,InjuryLocation,InjuryLocationQF,InjuryType,InjuryTypeQF,NumberofDeaths
2012,S92000003,d,S92000003,d,15-24 years,,Male,,Undisclosed,,Other,,2
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Home,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Home,,Poisoning,,8
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Home,,Falls,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Home,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Home,,Crushing,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Home,,Scalds,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Home,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Home,,Other,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Not applicable,,Land transport accidents,,5
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Not applicable,,Other,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Other,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Other,,Poisoning,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Other,,Falls,,1
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Other,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Other,,Crushing,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Other,,Scalds,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Other,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Other,,Other,,1
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Undisclosed,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Undisclosed,,Poisoning,,2
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Undisclosed,,Falls,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Undisclosed,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Undisclosed,,Crushing,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Undisclosed,,Scalds,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Undisclosed,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,15-24 years,,Female,,Undisclosed,,Other,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Home,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Home,,Poisoning,,191
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Home,,Falls,,5
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Home,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Home,,Crushing,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Home,,Scalds,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Home,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Home,,Other,,7
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Not applicable,,Land transport accidents,,52
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Not applicable,,Other,,6
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Other,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Other,,Poisoning,,12
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Other,,Falls,,12
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Other,,"Struck by,against",,2
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Other,,Crushing,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Other,,Scalds,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Other,,Accidental exposure,,1
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Other,,Other,,7
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Undisclosed,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Undisclosed,,Poisoning,,31
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Undisclosed,,Falls,,4
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Undisclosed,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Undisclosed,,Crushing,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Undisclosed,,Scalds,,0
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Undisclosed,,Accidental exposure,,4
2012,S92000003,d,S92000003,d,25-44 years,,Male,,Undisclosed,,Other,,2
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Home,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Home,,Poisoning,,50
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Home,,Falls,,1
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Home,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Home,,Crushing,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Home,,Scalds,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Home,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Home,,Other,,4
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Not applicable,,Land transport accidents,,13
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Not applicable,,Other,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Undisclosed,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Undisclosed,,Poisoning,,6
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Undisclosed,,Falls,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Undisclosed,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Undisclosed,,Crushing,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Undisclosed,,Scalds,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Undisclosed,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,25-44 years,,Female,,Undisclosed,,Other,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Home,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Home,,Poisoning,,84
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Home,,Falls,,14
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Home,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Home,,Crushing,,1
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Home,,Scalds,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Home,,Accidental exposure,,3
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Home,,Other,,9
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Not applicable,,Land transport accidents,,40
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Not applicable,,Other,,15
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Other,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Other,,Poisoning,,5
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Other,,Falls,,7
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Other,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Other,,Crushing,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Other,,Scalds,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Other,,Accidental exposure,,4
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Other,,Other,,11
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Undisclosed,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Undisclosed,,Poisoning,,11
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Undisclosed,,Falls,,13
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Undisclosed,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Undisclosed,,Crushing,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Undisclosed,,Scalds,,0
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Undisclosed,,Accidental exposure,,7
2012,S92000003,d,S92000003,d,45-64 years,,Male,,Undisclosed,,Other,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Home,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Home,,Poisoning,,46
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Home,,Falls,,10
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Home,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Home,,Crushing,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Home,,Scalds,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Home,,Accidental exposure,,1
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Home,,Other,,5
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Not applicable,,Land transport accidents,,7
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Not applicable,,Other,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Other,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Other,,Poisoning,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Other,,Falls,,1
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Other,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Other,,Crushing,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Other,,Scalds,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Other,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Other,,Other,,1
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Undisclosed,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Undisclosed,,Poisoning,,10
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Undisclosed,,Falls,,3
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Undisclosed,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Undisclosed,,Crushing,,0
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Undisclosed,,Scalds,,1
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Undisclosed,,Accidental exposure,,2
2012,S92000003,d,S92000003,d,45-64 years,,Female,,Undisclosed,,Other,,2
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Home,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Home,,Poisoning,,7
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Home,,Falls,,12
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Home,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Home,,Crushing,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Home,,Scalds,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Home,,Accidental exposure,,3
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Home,,Other,,9
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Not applicable,,Land transport accidents,,12
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Not applicable,,Other,,1
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Other,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Other,,Poisoning,,1
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Other,,Falls,,9
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Other,,"Struck by,against",,1
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Other,,Crushing,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Other,,Scalds,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Other,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Other,,Other,,5
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Undisclosed,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Undisclosed,,Poisoning,,8
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Undisclosed,,Falls,,10
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Undisclosed,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Undisclosed,,Crushing,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Undisclosed,,Scalds,,0
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Undisclosed,,Accidental exposure,,6
2012,S92000003,d,S92000003,d,65-74 years,,Male,,Undisclosed,,Other,,3
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Home,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Home,,Poisoning,,7
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Home,,Falls,,9
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Home,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Home,,Crushing,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Home,,Scalds,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Home,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Home,,Other,,4
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Not applicable,,Land transport accidents,,4
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Not applicable,,Other,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Other,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Other,,Poisoning,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Other,,Falls,,2
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Other,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Other,,Crushing,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Other,,Scalds,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Other,,Accidental exposure,,1
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Other,,Other,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Undisclosed,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Undisclosed,,Poisoning,,2
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Undisclosed,,Falls,,13
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Undisclosed,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Undisclosed,,Crushing,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Undisclosed,,Scalds,,0
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Undisclosed,,Accidental exposure,,9
2012,S92000003,d,S92000003,d,65-74 years,,Female,,Undisclosed,,Other,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Home,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Home,,Poisoning,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Home,,Falls,,31
2012,S92000003,d,S92000003,d,75plus years,,Male,,Home,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Home,,Crushing,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Home,,Scalds,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Home,,Accidental exposure,,1
2012,S92000003,d,S92000003,d,75plus years,,Male,,Home,,Other,,7
2012,S92000003,d,S92000003,d,75plus years,,Male,,Not applicable,,Land transport accidents,,17
2012,S92000003,d,S92000003,d,75plus years,,Male,,Not applicable,,Poisoning,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Not applicable,,Falls,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Not applicable,,"Struck by,against",,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Not applicable,,Crushing,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Not applicable,,Scalds,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Not applicable,,Accidental exposure,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Not applicable,,Other,,3
2012,S92000003,d,S92000003,d,75plus years,,Male,,Other,,Land transport accidents,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Other,,Poisoning,,0
2012,S92000003,d,S92000003,d,75plus years,,Male,,Other,,Falls,,19
2012,S92000003,d,S92000003,d,75plus years,,Male,,Other,,"Struck by,against",,0
